epoch,stage,train_loss,train_acc,val_loss,val_acc,val_auc,val_sens,val_spec,val_best_thr,val_bestJ,val_best_acc,val_best_sens,val_best_spec,test_loss,test_auc,test_acc_thr05,test_sens_thr05,test_spec_thr05,test_acc_bestthr,test_sens_bestthr,test_spec_bestthr
1,head_only,0.06402091317965339,60.75,0.6953847865263622,43.58974358974359,0.9444444444444444,0.29032258061394384,0.9999999995833333,0.47000000000000003,0.7782258059899085,89.74358973591936,0.9032258063544919,0.8749999996354166,,,,,,,,
2,head_only,0.058070884208815794,68.16666666666667,0.6347299357255299,78.63247863247864,0.9507168458781362,0.7419354837911898,0.9583333329340278,0.47700000000000004,0.76612903178478,86.32478631740814,0.8494623655000578,0.9166666662847222,,,,,,,,
3,head_only,0.050307144857166954,72.41666666666667,0.5822593559821446,82.05128205128206,0.9498207885304659,0.784946236474737,0.9583333329340278,0.47900000000000004,0.7970430102631987,86.32478631740814,0.838709677329171,0.9583333329340278,,,,,,,,
4,head_only,0.04588480535584191,76.08333333333333,0.5628352403640747,79.48717948717949,0.9471326164874552,0.7419354837911898,0.9999999995833333,0.456,0.7862903220923121,85.47008546278033,0.8279569891582842,0.9583333329340278,,,,,,,,
5,cnn_last,0.04357994097362583,77.66666666666667,0.530719518661499,82.05128205128206,0.9453405017921147,0.784946236474737,0.9583333329340278,0.445,0.7970430102631987,86.32478631740814,0.838709677329171,0.9583333329340278,,,,,,,,
6,cnn_last,0.03941978053345035,81.33333333333333,0.49860360423723854,83.76068376068376,0.9453405017921147,0.8064516128165107,0.9583333329340278,0.544,0.7849462360580703,82.90598289889692,0.784946236474737,0.9999999995833333,,,,,,,,
7,cnn_last,0.03882011550789078,80.83333333333333,0.46573588252067566,84.61538461538461,0.9471326164874552,0.8279569891582842,0.9166666662847222,0.58,0.7956989242289572,83.76068375352473,0.7956989246456239,0.9999999995833333,,,,,,,,
8,cnn_last,0.04059710668865591,80.75,0.4570386976003647,82.90598290598291,0.9466845878136201,0.8064516128165107,0.9166666662847222,0.585,0.7956989242289572,83.76068375352473,0.7956989246456239,0.9999999995833333,,,,,,,,
9,cnn_last,0.048185897222720084,76.75,0.4588685522476832,83.76068376068376,0.9489247311827957,0.8172043009873975,0.9166666662847222,0.593,0.7849462360580703,82.90598289889692,0.784946236474737,0.9999999995833333,,,,,,,,
10,cnn_last,0.04072600684594363,80.75,0.4565113494793574,83.76068376068376,0.9529569892473118,0.8172043009873975,0.9166666662847222,0.612,0.7849462360580703,82.90598289889692,0.784946236474737,0.9999999995833333,,,,,,,,
11,cnn_all,0.03775833117620399,81.41666666666667,0.4574249118566513,84.61538461538461,0.9516129032258065,0.8279569891582842,0.9166666662847222,0.627,0.7741935478871835,82.05128204426913,0.7741935483038502,0.9999999995833333,,,,,,,,
12,cnn_all,0.037508984118079146,82.16666666666667,0.4519865244626999,83.76068376068376,0.9529569892473119,0.8172043009873975,0.9166666662847222,0.539,0.7647849457505385,83.76068375352473,0.8064516128165107,0.9583333329340278,,,,,,,,
13,cnn_all,0.03628870422253385,81.75,0.4480448603630066,83.76068376068376,0.9520609318996416,0.8172043009873975,0.9166666662847222,0.562,0.7647849457505385,83.76068375352473,0.8064516128165107,0.9583333329340278,,,,,,,,
14,cnn_all,0.03797181602994291,79.5,0.4501005212465922,83.76068376068376,0.9507168458781362,0.8172043009873975,0.9166666662847222,0.597,0.7647849457505385,83.76068375352473,0.8064516128165107,0.9583333329340278,,,,,,,,
