epoch,stage,train_loss,train_acc,val_loss,val_acc,val_auc,val_sens,val_spec,val_best_thr,val_bestJ,val_best_acc,val_best_sens,val_best_spec
1,head_only,0.5544338923322378,76.0724852071006,0.4136634674487692,81.19658119658119,0.923984468339307,0.8183990441957181,0.7870370370006001,0.607,0.6784647550256415,78.53751187009937,0.7479091995131671,0.9305555555124743
2,head_only,0.5250022049728759,80.3439349112426,0.3514176888222044,83.66571699905033,0.9283154121863799,0.862604540013589,0.7361111110770319,0.79,0.6932497012612289,78.34757834683431,0.739545997601678,0.9537037036595507
3,head_only,0.5138098475903538,81.85096153846153,0.35650580867447634,84.71035137701804,0.9298918093720963,0.8829151732272053,0.70833333330054,0.8170000000000001,0.6907108721093675,77.87274453867168,0.7323775388204017,0.958333333288966
4,head_only,0.5158713790725851,82.30399408284023,0.36931111039876036,84.52041785375118,0.9234368777379529,0.8853046594876307,0.6898148147828789,0.807,0.6754778972020179,81.57644824234022,0.8004778972425272,0.8749999999594907
5,head_only,0.5357989539067156,80.57507396449704,0.40565573511588754,84.42545109211775,0.9164730740298244,0.8721624850552908,0.7361111110770319,0.8200000000000001,0.6966845877617036,80.53181386438243,0.7753882915080599,0.9212962962536436
6,head_only,0.545333229358027,81.68454142011835,0.41292182960067736,85.84995251661918,0.8980430550024336,0.9020310633106089,0.6898148147828789,0.8,0.6835424133293635,79.48717948642464,0.7622461170757199,0.9212962962536436
7,head_only,0.4989858521644533,83.38572485207101,0.40228089910339226,85.75498575498575,0.9043154564361255,0.9032258064408216,0.6805555555240483,0.842,0.6400836319724874,83.95061728315338,0.8530465949718872,0.7870370370006001
8,head_only,0.46833571291820714,84.7078402366864,0.4183973861350255,84.71035137701804,0.9160914199743351,0.8912783751386943,0.6759259258946331,0.881,0.6717443249212163,83.19088319009316,0.8291517323676326,0.8425925925535837
9,cnn_last,0.46569786231259447,85.67862426035504,0.4189151128979795,84.99525166191833,0.9180909553520067,0.897252090789758,0.6666666666358024,0.887,0.7051971325646282,81.48148148070769,0.7885304659403999,0.9166666666242284
10,cnn_last,0.4643799503052817,85.95599112426035,0.4517990196208385,84.71035137701804,0.9184255940528341,0.8936678613991198,0.6666666666358024,0.897,0.7031063320870741,81.8613485272378,0.7956989247216762,0.9074074073653978
